key,en,es-ES,es-LA,ca,zh-CN,zh-TW,ja,it,de,fr,pt-PT,ru,pt-BR,pl,tr,eu,oc,th,ko,cs
loadImage,Import Image [I],Importar imagen [I],Importar imagen [I],Importar Imatge [I],导入图像 [I],導入圖像 [I],画像をインポート [I],Importa immagine [I],Bild importieren [I],Importer une image [I],Importar Imagem [I],Импорт Изображения [I],Importar Imagem [I],Importuj Obraz [I],Resim İçe Aktar [I],Irudia Inportatu [I],Importar Imatge [I],นำเข้ารูป [I],MT: Import Image [I],1
paletteViewer,Palette Viewer,Visor de paleta,Visor de paleta,Visor de Paleta,调色板查看器,調色板檢視器,パレットビューア,Visualizzatore di palette,Paletten‑Ansicht,Visualiseur de palette,Visualizador de Paleta,Просмотр Палитры,Visualizador de Paleta,Podgląd Palety,Palet Görüntüleyici,Paleta Ikustailea,Visualizador de Paleta,ดูจานสี,MT: Palette Viewer,1
changeResolution,Change Resolution [R],Cambiar resolución [R],Cambiar resolución [R],Canviar Resolució [R],更改分辨率 [R],更改解析度 [R],解像度を変更 [R],Cambia risoluzione [R],Auflösung ändern [R],Changer la résolution [R],Alterar Resolução [R],Изменить Разрешение [R],Alterar Resolução [R],Zmień Rozdzielczość [R],Çözünürlüğü Değiştir [R],Bereizmena Aldatu [R],Cambiar Resolucion [R],เปลี่ยนความละเอียด [R],MT: Change Resolution [R],1
changeGrids,Change Grids [G],Cambiar rejillas [G],Cambiar rejillas [G],Canviar Quadrícules [G],更改网格 [G],更改網格 [G],グリッドを変更 [G],Cambia griglie [G],Raster ändern [G],Changer les grilles [G],Alterar Grelhas [G],Изменить Сетки [G],Alterar Grades [G],Zmień Siatki [G],Izgara Değiştir [G],Saretiak Aldatu [G],Cambiar Grilhas [G],เปลี่ยนเส้นตาราง [G],MT: Change Grids [G],1
settings,Settings,Ajustes,Ajustes,Configuració,设置,設定,設定,Impostazioni,Einstellungen,Paramètres,Definições,Настройки,Configurações,Ustawienia,Ayarlar,Ezarpenak,Configuracion,การตั้งค่า,MT: Settings,1
exportImage,Export Image [E],Exportar imagen [E],Exportar imagen [E],Exportar Imatge [E],导出图像 [E],匯出圖像 [E],画像をエクスポート [E],Esporta immagine [E],Bild exportieren [E],Exporter l’image [E],Exportar Imagem [E],Экспорт Изображения [E],Exportar Imagem [E],Eksportuj Obraz [E],Resim Dışa Aktar [E],Irudia Esportatu [E],Exportar Imatge [E],ส่งออกรูป [E],MT: Export Image [E],1
preview,Preview,Vista previa,Vista previa,Vista Prèvia,预览,預覽,プレビュー,Anteprima,Vorschau,Aperçu,Pré-visualização,Предпросмотр,Visualização,Podgląd,Önizleme,Aurrebista,Vista Prèvia,ดูตัวอย่าง,MT: Preview,1
appTitle,Deliaxe Paint,Deliaxe Paint,Deliaxe Paint,Deliaxe Paint,Deliaxe Paint,Deliaxe Paint,Deliaxe Paint,Deliaxe Paint,Deliaxe Paint,Deliaxe Paint,Deliaxe Paint,Deliaxe Paint,Deliaxe Paint,Deliaxe Paint,Deliaxe Paint,Deliaxe Paint,Deliaxe Paint,Deliaxe Paint,Deliaxe Paint,1
appSubtitle,Retro pixel art support suite,Herramientas retro para pixel art,Herramientas retro para pixel art,Eines retro per a pixel art,复古像素艺术支持工具,復古像素藝術工具套件,レトロなピクセルアート支援ツール,Suite di strumenti retro per pixel art,Retro-Pixelart-Werkzeug-Suite,Suite d'outils rétro pour pixel art,Retro pixel art support suite,Retro pixel art support suite,Retro pixel art support suite,Retro pixel art support suite,Retro pixel art support suite,Retro pixel art support suite,Eines retro per a pixel art,ชุดเครื่องมือสำหรับงานพิกเซลอาร์ตสไตล์เรโทร,레트로 픽셀 아트 지원 도구 모음,1
copyright,© 2025,© 2025,© 2025,© 2025,© 2025,© 2025,© 2025,© 2025,© 2025,© 2025,© 2025,© 2025,© 2025,© 2025,© 2025,© 2025,© 2025,© 2025,© 2025,1
company,Anarkade,Anarkade,Anarkade,Anarkade,Anarkade,Anarkade,Anarkade,Anarkade,Anarkade,Anarkade,Anarkade,Anarkade,Anarkade,Anarkade,Anarkade,Anarkade,Anarkade,Anarkade,Anarkade,1
uploadImage,Upload Image,Subir imagen,Subir imagen,Pujar imatge,上传图片,上傳圖片,画像をアップロード,Carica immagine,Bild hochladen,Téléverser une image,Upload Image,Загрузить Изображение,Upload Image,Prześlij Obraz,Yükle Görüntü,Igo Irudia,Pujar imatge,อัปโหลดรูป,이미지 업로드,1
dragDropText,"Load, drag and drop or paste an image","Cargar, arrastrar y soltar o pegar una imagen","Carrega, arrossega i deixa anar o enganxa una imatge",加载、拖放或粘贴一张图片,載入、拖放或貼上圖片,画像を読み込む、ドラッグ＆ドロップ、または貼り付け,"Carica, trascina e rilascia o incolla un’immagine","Bild laden, per Drag-and-drop ablegen oder einfügen","Charger, glisser‑déposer ou coller une image","Carregar, arrastar e largar ou colar uma imagem","Загрузите, перетащите или вставьте изображение","Carregar, arrastar e soltar ou colar uma imagem","Wczytaj, przeciągnij i upuść lub wklej obraz","Bir görsel yükleyin, sürükleyip bırakın veya yapıştırın","Kargatu, arrastatu eta jaregin edo itsatsi irudia","Cargar, lisar‑depausar o pegar una imatge",โหลด ลากแล้ววาง หรือวางภาพจากคลิปบอร์ด,โหลด รูปโดยลากและวาง หรือวางจากคลิปบอร์ด,이미지 불러오기 — 드래그 앤 드롭하거나 붙여넣기,1
orText,or,o,o,o,或,或,または,o,oder,ou,or,or,or,or,or,or,o,หรือ,또는,1
loadFromUrl,Load from URL,Cargar desde URL,Cargar desde URL,Carregar des de URL,从 URL 加载,從 URL 載入,URLから読み込む,Carica da URL,Von URL laden,Charger depuis une URL,Load from URL,Load from URL,Load from URL,Load from URL,Load from URL,Load from URL,Carregar des de URL,โหลดจาก URL,URL에서 불러오기,1
loadFromCamera,Load from Camera,Cargar desde cámara,Cargar desde cámara,Carregar des de la càmera,从相机加载,從相機載入,カメラから読み込む,Carica dalla fotocamera,Von Kamera laden,Charger depuis la caméra,Load from Camera,Load from Camera,Load from Camera,Load from Camera,Load from Camera,Load from Camera,Carregar des de la càmera,โหลดจากกล้อง,카메라에서 불러오기,1
enterImageUrl,Enter image URL...,Introduce la URL de la imagen...,Introduce la URL de la imagen...,Introdueix la URL de la imatge...,输入图片 URL...,輸入圖片 URL...,画像のURLを入力...,Inserisci l'URL dell'immagine...,Bild-URL eingeben...,Entrez l'URL de l'image...,Enter image URL...,Enter image URL...,Enter image URL...,Enter image URL...,Enter image URL...,Enter image URL...,Introdueix la URL de la imatge...,ป้อน URL ของรูป...,이미지 URL 입력...,1
loadUrl,Load URL,Cargar URL,Cargar URL,Carregar URL,加载 URL,載入 URL,URLを読み込む,Carica URL,URL laden,Charger URL,Load URL,Load URL,Load URL,Load URL,Load URL,Load URL,Carregar URL,โหลด URL,URL 불러오기,1
uploadFile,Upload File,Subir archivo,Subir archivo,Pujar fitxer,上传文件,上傳檔案,ファイルをアップロード,Carica file,Datei hochladen,Téléverser un fichier,Upload File,Загрузить File,Upload File,Prześlij File,Yükle File,Igo File,Pujar fitxer,อัปโหลดไฟล์,파일 업로드,1
fromUrl,From URL,Desde URL,Desde URL,Des de URL,来自 URL,來自 URL,URLから,Da URL,Von URL,Depuis URL,From URL,From URL,From URL,From URL,From URL,From URL,Des de URL,จาก URL,URL에서,1
camera,Camera,Cámara,Cámara,Càmera,相机,相機,カメラ,Fotocamera,Kamera,Caméra,Camera,Camera,Camera,Camera,Camera,Camera,Càmera,กล้อง,카메라,1
capture,Capture,Capturar,Capturar,Capturar,拍摄,擷取,キャプチャ,Cattura,Aufnehmen,Capturer,Capture,Capture,Capture,Capture,Capture,Capture,Capturar,จับภาพ,캡처,1
switchCamera,Switch Camera,Cambiar cámara,Cambiar cámara,Canviar càmera,切换相机,切換相機,カメラを切替,Cambia fotocamera,Kamera wechseln,Changer la caméra,Switch Camera,Switch Camera,Switch Camera,Switch Camera,Switch Camera,Switch Camera,Canviar càmera,สลับกล้อง,카메라 전환,1
close,Close,Cerrar,Cerrar,Tancar,关闭,關閉,閉じる,Chiudi,Schließen,Fermer,Close,Close,Close,Close,Close,Close,Tancar,ปิด,닫기,1
selectPalette,Change Palette [P],Cambiar paleta [P],Cambiar paleta [P],Canviar paleta [P],更换调色板 [P],更換調色盤 [P],パレットを変更 [P],Cambia palette [P],Palette wechseln [P],Changer la palette [P],Change Palette [P],Change палитра [P],Change Palette [P],Change Paleta [P],Change Palet [P],Change Paleta [P],Canviar paleta [P],เปลี่ยนพาเลท [P],팔레트 변경 [P],1
originalPalette,Original,Original,Original,Original,原始,原始,オリジナル,Originale,Original,Original,Original,Original,Original,Original,Original,Original,Original,ต้นฉบับ,원본,1
gameBoy,Game Boy (GB Studio sprites),Game Boy (sprites GB Studio),Game Boy (sprites GB Studio),Game Boy (sprites GB Studio),Game Boy（GB Studio 精灵）,Game Boy（GB Studio 精靈）,ゲームボーイ（GB Studio スプライト）,Game Boy (sprite GB Studio),Game Boy (GB Studio Sprites),Game Boy (sprites GB Studio),Game Boy (GB Studio sprites),Game Boy (GB Studio sprites),Game Boy (GB Studio sprites),Game Boy (GB Studio sprites),Game Boy (GB Studio sprites),Game Boy (GB Studio sprites),Game Boy (sprites GB Studio),Game Boy (สไปรท์ GB Studio),Game Boy (GB Studio 스프라이트),1
gameBoyBg,Game Boy (GB Studio backgrounds),Game Boy (fondos GB Studio),Game Boy (fondos GB Studio),Game Boy (fons GB Studio),Game Boy（GB Studio 背景）,Game Boy（GB Studio 背景）,ゲームボーイ（GB Studio 背景）,Game Boy (sfondi GB Studio),Game Boy (GB Studio Hintergründe),Game Boy (fonds GB Studio),Game Boy (GB Studio backgrounds),Game Boy (GB Studio backgrounds),Game Boy (GB Studio backgrounds),Game Boy (GB Studio backgrounds),Game Boy (GB Studio backgrounds),Game Boy (GB Studio backgrounds),Game Boy (fons GB Studio),Game Boy (พื้นหลัง GB Studio),Game Boy (GB Studio 배경),1
megaDriveSingle,Mega Drive Single (16 colors),Mega Drive — única (16 colores),Mega Drive — única (16 colores),Mega Drive — única (16 colors),Mega Drive — 单色（16 色）,Mega Drive — 單一（16 色）,メガドライブ — シングル（16色）,Mega Drive — singola (16 colori),Mega Drive — Einzel (16 Farben),Mega Drive — simple (16 couleurs),Mega Drive Single (16 colors),Mega Drive Single (16 цвета),Mega Drive Single (16 colors),Mega Drive Single (16 kolory),Mega Drive Single (16 renkler),Mega Drive Single (16 koloreak),Mega Drive — única (16 colors),Mega Drive แบบเดียว (16 สี),Mega Drive 단색 (16색),1
megaDriveMulti,Mega Drive Multi (64 colors),Mega Drive — múltiple (64 colores),Mega Drive — múltiple (64 colores),Mega Drive — múltiple (64 colors),Mega Drive — 多色（64 色）,Mega Drive — 多色（64 色）,メガドライブ — マルチ（64色）,Mega Drive — multipla (64 colori),Mega Drive — Mehrfach (64 Farben),Mega Drive — multiple (64 couleurs),Mega Drive Multi (64 colors),Mega Drive Multi (64 цвета),Mega Drive Multi (64 colors),Mega Drive Multi (64 kolory),Mega Drive Multi (64 renkler),Mega Drive Multi (64 koloreak),Mega Drive — múltiple (64 colors),Mega Drive หลายสี (64 สี),Mega Drive 다색 (64색),1
neoGeoSingle,Neo Geo Single (16 colors),Neo Geo — única (16 colores),Neo Geo — única (16 colores),Neo Geo — única (16 colors),Neo Geo — 单色（16 色）,Neo Geo — 單一（16 色）,ネオジオ — シングル（16色）,Neo Geo — singola (16 colori),Neo Geo — Einzel (16 Farben),Neo Geo — simple (16 couleurs),Neo Geo Single (16 colors),Neo Geo Single (16 цвета),Neo Geo Single (16 colors),Neo Geo Single (16 kolory),Neo Geo Single (16 renkler),Neo Geo Single (16 koloreak),Neo Geo — única (16 colors),Neo Geo แบบเดียว (16 สี),Neo Geo 단색 (16색),1
neoGeoMulti,Neo Geo Multi (256 colors),Neo Geo — múltiple (256 colores),Neo Geo — múltiple (256 colores),Neo Geo — múltiple (256 colors),Neo Geo — 多色（256 色）,Neo Geo — 多色（256 色）,ネオジオ — マルチ（256色）,Neo Geo — multipla (256 colori),Neo Geo — Mehrfach (256 Farben),Neo Geo — multiple (256 couleurs),Neo Geo Multi (256 colors),Neo Geo Multi (256 цвета),Neo Geo Multi (256 colors),Neo Geo Multi (256 kolory),Neo Geo Multi (256 renkler),Neo Geo Multi (256 koloreak),Neo Geo — múltiple (256 colors),Neo Geo หลายสี (256 สี),Neo Geo 다색 (256색),1
zxSpectrum,ZX Spectrum (16 colors),ZX Spectrum (16 colores),ZX Spectrum (16 colores),ZX Spectrum (16 colors),ZX Spectrum（16 色）,ZX Spectrum（16 色）,ZX Spectrum（16色）,ZX Spectrum (16 colori),ZX Spectrum (16 Farben),ZX Spectrum (16 couleurs),ZX Spectrum (16 colors),ZX Spectrum (16 цвета),ZX Spectrum (16 colors),ZX Spectrum (16 kolory),ZX Spectrum (16 renkler),ZX Spectrum (16 koloreak),ZX Spectrum (16 colors),ZX Spectrum (16 สี),ZX Spectrum (16색),1
undo,Undo,Deshacer,Deshacer,Desfer,撤销,復原,元に戻す,Annulla,Rückgängig,Annuler,Undo,Undo,Undo,Undo,Undo,Undo,Desfer,เลิกทำ,실행 취소,1
redo,Redo,Rehacer,Rehacer,Refaire,重做,重做,やり直す,Ripristina,Wiederholen,Rétablir,Redo,Redo,Redo,Redo,Redo,Redo,Refaire,ทำซ้ำ,다시 실행,1
consolePlatform,Console/Platform,Consola/Plataforma,Consola/Plataforma,Consola/Plataforma,主机/平台,主機/平台,コンソール/プラットフォーム,Console/Piattaforma,Konsole/Plattform,Console/Plateforme,Console/Platform,Console/Platform,Console/Platform,Console/Platform,Console/Platform,Console/Platform,Consola/Plataforma,คอนโซล/แพลตฟอร์ม,콘솔/플랫폼,1
paletteColors,Palette Colors,Colores de la paleta,Colores de la paleta,Colors de la paleta,调色板颜色,調色盤顏色,パレットの色数,Colori della palette,Palettenfarben,Couleurs de la palette,Palette Colors,палитра Colors,Palette Colors,Paleta Colors,Palet Colors,Paleta Colors,Colors de la paleta,สีพาเลท,팔레트 색상,1
colorPalette,Color palette,Paleta de colores,Paleta de colores,Paleta de colors,配色,配色,カラーパレット,Palette colori,Farbpalette,Palette de couleurs,Color palette,Color palette,Color palette,Color palette,Color palette,Color palette,Paleta de colors,พาเลทสี,색상 팔레트,1
extractColors,Extract Colors,Extraer colores,Extraer colores,Extreure colors,提取颜色,提取顏色,色を抽出,Estrai colori,Farben extrahieren,Extraire les couleurs,Extract Colors,Extract Colors,Extract Colors,Extract Colors,Extract Colors,Extract Colors,Extreure colors,ดึงสี,색상 추출,1
dragToReorder,Drag to reorder,Arrastra para reordenar,Arrastra para reordenar,Arrossegar per reordenar,拖动以重排,拖曳以重新排序,ドラッグして並び替え,Trascina per riordinare,Zum Neuordnen ziehen,Glisser pour réordonner,Drag to reorder,Drag to reorder,Drag to reorder,Drag to reorder,Drag to reorder,Drag to reorder,Arrossegar per reordenar,ลากเพื่อจัดลำดับ,드래그하여 순서 변경,1
clickToChange,Click colors to change them,Haz clic en un color para cambiarlo,Toca un color para cambiarlo,Fes clic a un color per canviar-lo,点击颜色以修改,點選顏色以修改,色をクリックして変更,Clicca un colore per cambiarlo,"Klicke Farben, um sie zu ändern",Cliquez sur une couleur pour la changer,Click colors to change them,Click цвета to change them,Click colors to change them,Click kolory to change them,Click renkler to change them,Click koloreak to change them,Fes clic a un color per canviar-lo,คลิกสีเพื่อเปลี่ยน,색상을 클릭하여 변경,1
paletteInstructions,Click a color to modify it or drag it to change its palette position,Haz clic en un color para modificarlo o arrástralo para cambiar su posición en la paleta,Toca un color para modificarlo o arrástralo para cambiar su posición en la paleta,Fes clic a un color per modificar-lo o arrossega'l per canviar la seva posició a la paleta,点击颜色进行修改，或拖动改变其在调色板中的位置,點選顏色來修改，或拖曳改變它在調色盤中的位置,色をクリックして編集、またはドラッグでパレット内の位置を変更できます,Clicca un colore per modificarlo o trascinalo per cambiare la sua posizione nella palette,"Klicke eine Farbe, um sie zu ändern, oder ziehe sie, um ihre Position in der Palette zu ändern",Cliquez sur une couleur pour la modifier ou glissez-la pour changer sa position dans la palette,Click a color to modify it or drag it to change its palette position,Click a цвет to modify it or drag it to change its palette position,Click a color to modify it or drag it to change its palette position,Click a kolor to modify it or drag it to change its palette position,Click a renk to modify it or drag it to change its palette position,Click a kolore to modify it or drag it to change its palette position,Fes clic a un color per modificar-lo o arrossega'l per canviar la seva posició a la paleta,คลิกสีเพื่อแก้ไข หรือลากเพื่อเปลี่ยนตำแหน่งในพาเลท,색상을 클릭하여 수정하거나 드래그하여 팔레트 내 위치를 변경하세요,1
loadImageDesc,"Load, drag and drop or paste an image","Cargar, arrastrar y soltar o pegar una imagen","Carrega, arrossega i deixa anar o enganxa una imatge",加载、拖放或粘贴一张图片,載入、拖放或貼上圖片,画像を読み込む、ドラッグ＆ドロップ、または貼り付け,"Carica, trascina e rilascia o incolla un’immagine","Bild laden, per Drag-and-drop ablegen oder einfügen","Charger, glisser‑déposer ou coller une image","Carregar, arrastar e largar ou colar uma imagem","Загрузите, перетащите или вставьте изображение","Carregar, arrastar e soltar ou colar uma imagem","Wczytaj, przeciągnij i upuść lub wklej obraz","Bir görsel yükleyin, sürükleyip bırakın veya yapıştırın","Kargatu, arrastatu eta jaregin edo itsatsi irudia","Cargar, lisar‑depausar o pegar una imatge",โหลด ลากแล้ววาง หรือวางภาพจากคลิปบอร์ด,โหลด รูปโดยลากและวาง หรือวางจากคลิปบอร์ด,"MT: Load, drag and drop or paste an image",1
changePaletteDesc,Select a retro platform color palette to apply,Selecciona una paleta de colores retro para aplicar,Selecciona una paleta de colors de plataforma retro per aplicar,选择要应用的复古平台调色板,選擇要套用的復古平台調色盤,適用するレトロ機種のカラーパレットを選択,Seleziona una tavolozza di colori di piattaforme retrò da applicare,Eine Retro‑Plattform‑Farbpalette zum Anwenden auswählen,Sélectionner une palette de couleurs de plateforme rétro à appliquer,Selecionar uma paleta de cores de plataforma retro para aplicar,Выберите палитру цветов ретро‑платформы для применения,Selecionar uma paleta de cores de plataforma retrô para aplicar,Wybierz paletę kolorów retro‑platformy do zastosowania,Uygulamak için retro platform renk paletini seçin,Aplikatzeko plataforma retroetako kolore‑paleta bat aukeratu,Seleccionar una paleta de colors de plataforma retro d’aplicar,เลือกจานสีของแพลตฟอร์มยุคเก่าเพื่อใช้งาน,เลือกพาเลทสีของคอนโซลเรโทรเพื่อนำไปใช้,MT: Select a retro platform color palette to apply,1
changeResolutionDesc,Choose target resolution and scaling mode,Elige la resolución objetivo y el modo de escalado,Tria la resolució objectiu i el mode d’escalat,选择目标分辨率和缩放模式,選擇目標解析度與縮放模式,目標解像度とスケーリング方式を選択,Scegli la risoluzione di destinazione e la modalità di scalatura,Zielauflösung und Skalierungsmodus wählen,Choisir la résolution cible et le mode d’échelle,Escolher a resolução‑alvo e o modo de escala,Выберите целевое разрешение и режим масштабирования,Escolher a resolução alvo e o modo de escala,Wybierz docelową rozdzielczość i tryb skalowania,Hedef çözünürlüğü ve ölçekleme modunu seçin,Hautatu helburuko bereizmena eta eskalatze modua,Causir la resolucion cibla e lo mòde d’escala,เลือกความละเอียดเป้าหมายและโหมดการปรับสเกล,เลือกความละเอียดเป้าหมายและโหมดสเกล,MT: Choose target resolution and scaling mode,1
changeGridsDesc,Configure tile and frame grid overlays,Configura las rejillas de tiles y frames,Configura les quadrícules de tiles i de fotogrames,配置方块和帧网格叠加,設定方塊格線與影格格線疊加,タイルグリッドとフレームグリッドのオーバーレイを設定,Configura le griglie di tile e di frame,Kachel‑ und Frame‑Raster‑Overlays konfigurieren,Configurer les grilles de tuiles et de cadres,Configurar as grelhas de tiles e de frames,Настройте оверлеи сеток тайлов и кадров,Configurar as grades de tiles e de quadros,Skonfiguruj nakładki siatek kafelków i klatek,Döşeme ve kare ızgara kaplamalarını yapılandırın,Konfiguratu tile eta frame sareta gainjarriak,Configurar las grasilhas de tiles e de quadres,ตั้งค่าโอเวอร์เลย์เส้นตารางไทล์และเฟรม,กำหนดการซ้อนทับกริดของไทล์และเฟรม,MT: Configure tile and frame grid overlays,1
exportImageDesc,Download or share your processed image,Descarga o comparte tu imagen procesada,Descarrega o comparteix la teva imatge processada,下载或分享您处理过的图像,下載或分享處理後的圖片,処理した画像をダウンロードまたは共有,Scarica o condividi l’immagine elaborata,Verarbeitetes Bild herunterladen oder teilen,Télécharger ou partager votre image traitée,Transferir ou partilhar a imagem processada,Скачайте или поделитесь обработанным изображением,Baixar ou compartilhar a imagem processada,Pobierz lub udostępnij przetworzony obraz,İşlenmiş görseli indirin veya paylaşın,Deskargatu edo partekatu prozesatutako irudia,Telecargar o partejar vòstra imatge tractada,ดาวน์โหลดหรือแชร์รูปภาพที่ประมวลผลแล้ว,ดาวน์โหลดหรือแชร์รูปที่ประมวลผลแล้ว,MT: Download or share your processed image,1
colorsPalette,colors palette,paleta de colores,paleta de colors,颜色调色板,顏色調色板,カラーパレット,tavolozza di colori,Farbpalette,palette de couleurs,paleta de cores,цветовая палитра,paleta de cores,paleta kolorów,renk paleti,kolore paleta,paleta de colors,พาเลทสี,พาเลทสี,MT: colors palette,1
paletteWithCount,{count} colors palette,paleta de {count} colores,paleta de {count} colors,{count}色调色板,{count}色調色板,{count}色パレット,tavolozza di {count} colori,{count} Farben Palette,palette de {count} couleurs,paleta de {count} cores,палитра из {count} цветов,{count} цвета palette,MT: {count} colors palette,{count} kolory palette,{count} renkler palette,{count} koloreak palette,{count}色调色板,พาเลท {count} สี,{count} 색 팔레트,{count} barev paleta
processImageFirst,Process an image first to enable export options,Procesa una imagen primero para habilitar las opciones de exportación,Procesa una imagen primero para activar las opciones de exportación,Processa una imatge primer per habilitar les opcions d'exportació,请先处理图片以启用导出选项,請先處理圖片以啟用匯出選項,エクスポートオプションを有効にするには、まず画像を処理してください,Elabora prima un'immagine per abilitare le opzioni di esportazione,"Verarbeite zuerst ein Bild, um Exportoptionen zu aktivieren",Traitez d'abord une image pour activer les options d'export,Process an image first to enable export options,Process an image first to enable export options,Process an image first to enable export options,Process an image first to enable eksport options,Process an image first to enable export options,Process an image first to enable export options,Processa una imatge primer per habilitar les opcions d'exportació,ประมวลผลรูปก่อนเพื่อเปิดใช้งานตัวเลือกการส่งออก,내보내기 옵션을 사용하려면 먼저 이미지를 처리하세요,1
scalingMode,Scaling Mode,Modo de escalado,Mode d\'escalat,MT: Scaling Mode,MT: Scaling Mode,スケーリングモード,MT: Scaling Mode,Skalierungsmodus,Mode de mise à l\'échelle,MT: Scaling Mode,Scaling Mode,Scaling Mode,Scaling Mode,Scaling Mode,Scaling Mode,Scaling Mode,Scaling Mode,โหมดสเกล,스케일 모드,1
